임신주차,태아발달_크기,태아발달_체중,태아발달_발달과정,태아발달_추가정보,임산부변화_신체적,임산부변화_정신적,임산부변화_호르몬변화,임산부변화_기타,영양정보_칼로리,영양정보_단백질,영양정보_비타민,영양정보_식이섬유,권장사항_운동,권장사항_수분섭취,권장사항_휴식,권장사항_정기검진  
1,0.1-0.2mm (배아),0.5g 미만,수정란 착상 시작 및 세포 분열,배아가 자궁 내막에 완전히 착상되지 않음,월경 유사 출혈 가능,불안감 및 기대감,HCG 초기 분비 시작,피로감 증가,추가 칼로리 불필요,46g/day,엽산 400-600μg + 비타민B 복합체,20-25g/day,가벼운 일상 활동,2L/day,충분한 수면 (8시간 이상),임신 확인 후 첫 산전 검진 예약  
2,0.2-0.3mm,1g 미만,배아 세포 분열 활발,자궁 내막에 착상 완료,가벼운 출혈 가능,정서적 변화 시작,프로게스테론 및 에스트로겐 증가,냄새에 민감해짐,추가 칼로리 불필요,46g/day,엽산 400-600μg + 비타민B 복합체,20-25g/day,규칙적인 가벼운 산책,2L/day,스트레스 최소화,임신 테스트 후 산전 검진 예약  
3,0.4-0.5mm,1.5g 미만,배아낭 형성 시작,양막과 난황낭 형성,가슴 통증 및 팽만감,기분 변화 심화,HCG 수치 급격히 증가,메스꺼움 시작,추가 칼로리 불필요,46g/day,엽산 400-600μg + 비타민B 복합체,20-25g/day,가벼운 스트레칭,2-2.3L/day,정기적인 휴식,초음파로 임신 확인  
4,2-3mm,2g 미만,배아 외형 형성 시작 및 초기 심장 발달,신경관 발달 시작,입덧 시작 가능,불안감과 두려움,HCG 지속 증가,식욕 변화,추가 칼로리 불필요,46g/day,엽산 400-600μg + 철분 18mg,20-25g/day,가벼운 요가 가능,2-2.3L/day,충분한 수면,첫 산전 검진 시작  
5,5-10mm,5g 미만,심장 박동 시작 및 뇌 발달 시작,척추 형성 시작,입덧 심화,감정 기복 심화,프로게스테론 안정화,식욕 저하 가능,추가 칼로리 불필요,46g/day,엽산 400-600μg + 철분 18mg,20-25g/day,규칙적인 가벼운 운동,2-2.3L/day,규칙적인 생활,초음파로 심장박동 확인  
6,1.5-2cm,10g 미만,장기 발달 시작 및 사지 형성,눈 귀 코 발달 시작,소변 빈도 증가,감정적 민감함,에스트로겐 증가,입덧 본격화,추가 칼로리 불필요,46g/day,엽산 400-600μg + 철분 18mg,20-25g/day,규칙적인 가벼운 운동,2-2.3L/day,적절한 휴식,정기 산전 검진  
7,2.5cm,15g,장 신장 간 발달,안면 특징 발달,체중 변화 미미,정서적 변화,호르몬 안정화 시작,입덧 지속,추가 칼로리 불필요,46g/day,엽산 400-600μg + 철분 18mg,20-25g/day,가벼운 유산소 운동,2.3L/day,피로감 관리,전혈 검사 및 소변 검사  
8,2.5-4cm,20g,다리 팔 움직임 시작,성별 분화 시작 (겉으로 아직 구분 어려움),가벼운 체중 증가,기분 변화 지속,호르몬 변화 지속,변비 시작 가능,80-100kcal 추가,46g/day,엽산 400-600μg + 철분 18mg,20-25g/day,적절한 신체 활동,2.3L/day,정신적 스트레스 관리,기형아 검사 고려  
9,5cm,30g,태아 외형 확실해짐,손가락 발가락 발달,복부 팽창 시작,임신의 실감,호르몬 약간 안정,피부 변화 시작,80-100kcal 추가,46g/day,엽산 400-600μg + 철분 18mg,20-25g/day,규칙적인 스트레칭,2.3L/day,적절한 휴식,태아 기형 검사  
10,6-7cm,35-40g,생식기 발달 본격화,손톱 발톱 형성 시작,자궁 커짐 시작,정서적 안정감 시작,HCG 감소 시작,입덧 완화 시작 가능,80-100kcal 추가,46g/day,엽산 400-600μg + 철분 18mg,20-25g/day,규칙적인 가벼운 운동,2.3L/day,충분한 수면,NIPT 검사 가능  
11,7-9cm,45g,모든 장기 형성 완료,뇌 발달 활발,복부 변화 뚜렷,임신의 현실화,호르몬 안정화 본격화,피부 변화 지속,80-100kcal 추가,46g/day,엽산 400-600μg + 비타민D 10μg,22-25g/day,규칙적인 운동,2.3L/day,피로 관리,경부 투명대 검사 가능  
12,10cm,50-60g,소변 생성 시작 및 운동 능력 향상,성별 구분 가능해짐,복부 팽창 뚜렷,태아 관계 형성 시작,HCG 안정화,입덧 호전 가능,80-100kcal 추가,46g/day,엽산 400-600μg + 비타민D 10μg,22-25g/day,수영 등 저충격 운동,2.3L/day,스트레스 관리,12주 정밀 초음파  
